img_name,object_present,img_height,img_width,processing_time,matches_count
001-.jpg,-,720,1280,0.00848845299998402,68
002-.jpg,-,1280,720,0.007489323999976705,71
003+.jpg,+,1280,720,0.005558174000015015,17
004+.jpg,+,720,1280,0.006056752000006327,33
005+.jpg,+,1280,720,0.028200628000007555,103
006+.jpg,+,1280,720,0.0067696830000159025,47
007+.jpg,+,1280,720,0.05562358599999584,102
008+.jpg,+,720,1280,0.01229943399999911,86
009+.jpg,+,720,1280,0.006153862000019217,33
010+.jpg,+,720,1280,0.006031882000002042,10
011+.jpg,+,720,1280,0.012986310999991701,74
012+.jpg,+,720,1280,0.010401443999995763,81
013+.jpg,+,720,1280,0.008841365999984419,84
014+.jpg,+,720,1280,0.011167271999994455,85
015+.jpg,+,720,1280,0.04316111700001102,97
016+.jpg,+,720,1280,0.00869648899998765,64
017+.jpg,+,720,1280,0.009909972000002654,83
018+.jpg,+,720,1280,0.015835664999997334,82
019+.jpg,+,720,1280,0.025373775000019805,106
020+.jpg,+,720,1280,0.011435706000014534,68
021-.jpg,-,720,1280,0.06538197000000423,113
022-.jpg,-,720,1280,0.012331014000011464,43
023-.jpg,-,720,1280,0.030863656000008177,90
024-.jpg,-,720,1280,0.0233510420000016,94
025+.jpg,+,720,1280,0.09973606500000187,107
026+.jpg,+,720,1280,0.046563525000010486,69
027+.jpg,+,720,1280,0.02669778899999642,39
028+.jpg,+,1280,720,0.013297773000005009,36
029+.jpg,+,720,1280,0.24506494999999973,124
030-.jpg,-,720,1280,0.03913183600002412,102
031-.jpg,-,720,1280,0.04303163599999493,0
032-.jpg,-,720,1280,0.008940054999982294,0
033-.jpg,-,720,1280,0.01836881799999901,68
034-.jpg,-,720,1280,0.01221377100000609,32
035+.jpg,+,720,1280,0.035696267999981046,43
036+.jpg,+,1280,720,0.03992292800000996,69
037+.jpg,+,1280,720,0.016285686000003352,32
038-.jpg,-,720,1280,0.017800762999996778,89
039+.jpg,+,720,1280,0.03166777600000614,104
040+.jpg,+,720,1280,0.024111343000015495,63
041+.jpg,+,720,1280,0.03621102999997561,103
042-.jpg,-,720,1280,0.016874268999998776,53
043-.jpg,-,1280,720,0.04420840600002407,73
044-.jpg,-,1280,720,0.01748101100000099,64
045+.jpg,+,720,1280,0.05076255200000901,113
046+.jpg,+,1280,720,0.03460476500001164,92
047+.jpg,+,1280,720,0.017549698000010494,106
048+.jpg,+,1280,720,0.022402442000014844,79
049+.jpg,+,1280,720,0.046206269999998995,104
050+.jpg,+,720,1280,0.03114432899999997,89
051+.jpg,+,720,1280,0.038129943000001276,111
052+.jpg,+,720,1280,0.03581311599998571,114
053+.jpg,+,1280,720,0.025998675000010962,94
054+.jpg,+,720,1280,0.01570421099998498,78
055+.jpg,+,1280,720,0.011213064000003214,51
056+.jpg,+,1280,720,0.012410754999990559,54
057+.jpg,+,720,1280,0.011783880999985286,32
058+.jpg,+,720,1280,0.011072530999996388,39
059+.jpg,+,1280,720,0.011005027000010159,44
060+.jpg,+,720,1280,0.0068036309999968125,7
061+.jpg,+,720,1280,0.00786592099998984,17
062+.jpg,+,1280,720,0.00896650299998214,33
063+.jpg,+,720,1280,0.007094961999996485,24
064+.jpg,+,1280,720,0.012683137000010447,52
065+.jpg,+,1280,720,0.0110638460000132,72
066+.jpg,+,1280,720,0.03557073499999319,77
067+.jpg,+,1280,720,0.01749206299999173,77
068+.jpg,+,720,1280,0.009370338999985961,56
069+.jpg,+,720,1280,0.009253096000009009,40
070+.jpg,+,1280,720,0.01080409499999746,64
071+.jpg,+,1280,720,0.015120760000002065,64
072+.jpg,+,1280,720,0.011956389999994599,57
073+.jpg,+,1280,720,0.008173831999982895,55
074+.jpg,+,1280,720,0.008810968999995339,65
075+.jpg,+,1280,720,0.00685929200000146,29
076+.jpg,+,1280,720,0.060272634999989805,91
077+.jpg,+,1280,720,0.06463982799999712,103
078+.jpg,+,1280,720,0.005958456999991313,25
079+.jpg,+,1280,720,0.007472348999982614,23
080+.jpg,+,720,1280,0.006334265999981881,21
081+.jpg,+,1280,720,0.00573107700000719,31
082+.jpg,+,1280,720,0.008172252999997909,13
083+.jpg,+,1280,720,0.0058783210000115105,14
084+.jpg,+,1280,720,0.005870426999990741,12
085+.jpg,+,1280,720,0.007287603000008858,22
086+.jpg,+,1280,720,0.00751024599998118,12
087+.jpg,+,1280,720,0.0076634119999994255,37
088+.jpg,+,1280,720,0.23481351300000597,111
089+.jpg,+,1280,720,0.38152838800002087,122
090+.jpg,+,1280,720,0.006366634999977805,0
091+.jpg,+,1280,720,0.006037407999997413,0
092+.jpg,+,1280,720,0.006593621000007488,0
093+.jpg,+,1280,720,0.012000603000018373,87
094+.jpg,+,1280,720,0.00941257799999562,86
095+.jpg,+,1280,720,0.010710538000012093,99
096+.jpg,+,1280,720,0.010806070000001,93
097-.jpg,-,1280,720,0.0072074670000006336,61
098-.jpg,-,1280,720,0.007269839000002776,62
099-.jpg,-,1280,720,0.007379976000009947,63
100-.jpg,-,1280,720,0.007689071000015701,64
base.jpg,e,1280,720,0.013156450999986191,179
